,churn,chat_log,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,document_score,magnitude,max_score,min_score,mean_score,std_score,max_weighted_score,min_weighted_score,mean_weighted_score,std_weighted_score
10,no,"Customer: I want to upgrade to VZW data.
TelCom Agent: Ok. At what price?
Customer: I don't know how much it would be but I will give a low estimate. I don't want to pay a higher price to upgrade to VZW than I'm currently paying.
TelCom Agent: Glad to hear that. What phone number would you like to update to VZW?
Customer: It's 3889895989 Europa Telecom, not to be confused with the Waterworks corporation.
TelCom Agent: That's correct darling. For TelCom, how much would you like to",NM,178,area_code_415,no,yes,35,175.4,88,29.82,190.0,65,16.15,138.7,94,6.24,10.5,3,2.84,2,0.0,3.700000047683716,0.699999988079071,-0.800000011920929,0.019999999552965164,0.41904654254158386,0.4899999833106996,-0.6400000190734865,0.013999999076128061,0.28228355100646857
11,no,"Customer: When I click on the upgrade option, I have to give you my credit card information because I do not have a Paypal account.
TelCom Agent: Yes, you do have one. While we do have a Paypal account, it is not currently active.
Customer: Alright, I'll go ahead and give you my Paypal account information.
TelCom Agent: Thank you Alice, I'll be waiting for your order number.
TelCom Agent: And this is my contact information. Feel free to call me or send me a message via my website. TelCom Support: You just completed your upgrade and do",CA,96,area_code_510,no,yes,31,183.4,126,31.18,195.5,106,16.62,180.1,93,8.1,10.5,5,2.84,1,-0.20000000298023224,2.9000000953674316,0.10000000149011612,-0.800000011920929,-0.25,0.34641016237409444,0.010000000298023226,-0.6400000190734865,-0.17500000037252908,0.24217762260752873
12,no,"Customer: All four.
TelCom Agent: Okay. Can you tell me what it would cost?
Customer: About £91 dollars for the package included with my contract.
TelCom Agent: But they said that getting your call transferred from landlines would be free.
Customer: No, it's not free. They are charging for the call transfer.
TelCom Agent: Awesome, so if you want to call someone, you would need to pay for that call?
Customer: Yes.
TelCom Agent: Okay. Well, is there anything else you would like to ask me about today?
Customer: I",ID,47,area_code_415,no,yes,28,196.2,88,33.35,194.8,106,16.56,243.0,103,10.93,10.5,10,2.84,0,0.0,3.0,0.4000000059604645,-0.800000011920929,-0.024999999751647312,0.3139134737688071,0.16000000476837162,-0.6400000190734865,-0.050833334227403014,0.19826154691338638
13,no,,TN,176,area_code_415,no,yes,23,283.2,130,48.14,162.6,74,13.82,177.7,104,8.0,7.2,6,1.94,1,,,,,,,,,,
14,no,,MN,157,area_code_510,no,no,0,185.1,92,31.47,213.0,85,18.11,196.1,85,8.82,8.5,5,2.3,2,,,,,,,,,,
15,no,,AR,80,area_code_415,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,,,,,,,,,,
16,yes,"Customer: Well, I'm a new customer and I'm trying to cancel today. The Internet that I have been getting has been very slow, so I was thinking that maybe I could get better service here.
TelCom Agent: Now I am so sorry that you couldn't have a better experience with TELCOM, but the Internet here is almost always super fast and very reliable. So we're not going to cancel the contract but I can tell you right now they do have a very competitive pricing. So if you can be patient and wait, I can get you a better deal than you're currently getting.
Customer: Thanks so much for walking me through this.",AL,86,area_code_415,no,no,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,0.0,2.9000000953674316,0.699999988079071,-0.800000011920929,-0.0333333412806193,0.5374838541991803,0.4899999833106996,-0.6400000190734865,-0.04333334406216949,0.372051375576961
17,no,,WA,119,area_code_415,no,yes,26,161.3,97,27.42,250.3,110,21.28,142.4,92,6.41,6.6,8,1.78,1,,,,,,,,,,
18,no,"Customer: I want to upgrade my voice over internet service to a VOIP phone.
TelCom Agent: Yeah John, that's great to hear. So would you like to get started now or do you need to wait a day or two for us to process your request?
Customer: Yes, I'd like to upgrade straight away.
TelCom Agent: All right I'm just going to start by logging into the Telcom system and getting your contact details for our agent. Would you like me to call you on the home phone or the mobile phone?
Customer: Yes, thank you.
TelCom Agent: Any",DE,64,area_code_415,no,yes,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,0.0,3.299999952316284,0.800000011920929,-0.6000000238418579,0.012499994598329067,0.4539755006211059,0.6400000190734865,-0.36000002861023006,0.0762499955669045,0.30471042307964313
19,no,"Customer: I would like the upgrade of voice and text for $20.00 a month.
TelCom Agent: Thank you Richard. Would you like to place another order for voice and text?
Customer: Yes, let me put this in the order form. This will be a recurring monthly order that will be for the next four years.
TelCom Agent: All right Richard, where do you have your place of business?
Customer: In Colorado.
TelCom Agent: Okay. Great. So you have an address in Colorado?
Customer: Yes.
TelCom Agent: And a phone number?
Customer:",WY,68,area_code_510,no,no,0,195.4,116,33.22,212.1,101,18.03,138.4,134,6.23,15.1,11,4.08,1,0.0,3.0999999046325684,0.8999999761581421,-0.20000000298023224,0.08461538301064418,0.3008862615734276,0.8099999570846563,-0.040000001192092904,0.08230768960255849,0.21891879575895365
20,yes,"Customer: Well, I've been getting disconnected from my modem for about a week now. The cable modems are installed differently and it seems that if I try to connect, it just disconnects.
TelCom Agent: Oh, that's unfortunate. Well, I don't know how you got disconnected from your connection, but I'm sure it can't be easy to deal with.
Customer: I don't get it. I'm not getting disconnected. I've been getting the service for about a month and I've not been disconnected.
TelCom Agent: Well I would like to get your service back as soon as possible, and I'd be happy to help",WY,76,area_code_415,no,no,0,263.4,148,44.78,230.3,69,19.58,170.6,101,7.68,11.4,5,3.08,1,-0.5,5.699999809265137,0.4000000059604645,-0.8999999761581421,-0.5500000081956387,0.40000000176951317,0.16000000476837162,-0.8099999570846563,-0.4225000092387202,0.30613517955260733
21,yes,"Customer: So I just want to cancel my contract. The service is not good and I would like to go to another telco.
TelCom Agent: Oh, so it's just you wanted to go to Verizon.
Customer: No it's not that. I just want to take my business. I'm not going to be loyal to Verizon",TN,102,area_code_415,no,no,0,183.2,112,31.14,187.5,113,15.94,232.3,77,10.45,9.2,5,2.48,1,-0.6000000238418579,3.700000047683716,-0.20000000298023224,-0.800000011920929,-0.5499999970197678,0.2499999970197679,-0.040000001192092904,-0.6400000190734865,-0.3649999952316285,0.2358495270377996
22,no,"Customer: I would like to upgrade my voice to a plan that has 30 GB of data.
TelCom Agent: That's fine and I will be glad to chat to you Saturday and give you the details about the upgrade.
Customer: Thank you. So I'll be getting a new phone, am I right?
TelCom Agent: Yes, you're right Pamela. We have a lot of phone replacements now, so if you need to switch in the future, we have a lot of options.
Customer: So let me talk to you again Saturday to confirm your plans and our plans?
TelCom Agent: Oh",CO,57,area_code_415,no,no,0,85.9,92,14.6,193.9,127,16.48,231.5,93,10.42,10.1,2,2.73,0,0.10000000149011612,3.0,0.699999988079071,-0.20000000298023224,0.15000000316649675,0.38078866133425465,0.4899999833106996,-0.040000001192092904,0.13500000458210723,0.2116601093846954
23,yes,"Customer: I had a modem with serial number 0100111111 and the router was old, I had a new router with serial number 03100111111 but my modem was still old. So I wanted to start from the beginning and see if I could still get my modem working.
TelCom Agent: Okay, thank you James. I'll be in touch with my supervisor.
The customer waits for a supervisor about 15 minutes and then is handed a packet of instructions. The instructions were clear and provided instructions for how to disable the account of the Telcom agent. The customer was to call the Telcom agent's office and leave notes saying what the problem was and get back to them",MT,109,area_code_408,no,no,0,264.7,69,45.0,305.0,120,25.93,197.4,86,8.88,9.5,9,2.57,1,-0.10000000149011612,3.299999952316284,0.5,-0.6000000238418579,-0.1285714336803981,0.4333071730039198,0.25,-0.36000002861023006,-0.06142857687813904,0.22099959057822782
24,no,"Customer: I have been looking at voice for a while now and i'm ready to buy the $55/year plan.
TelCom Agent: Great job Nicole. I'll be working on getting the upgrade process started for you.
Customer: Great. And can I expect my upgrade to your service within the next 3-4 weeks?
TelCom Agent: Sure. At this time I'm looking at a 90 day upgrade process. At that time you'll be able to tell me what you would like that upgrade to be.
Customer: I was hoping to upgrade monthly, but with the new pricing structure you seem to be offering",WA,161,area_code_415,no,no,0,151.6,117,25.77,219.4,87,18.65,224.7,68,10.11,4.0,5,1.08,1,0.10000000149011612,3.0999999046325684,0.8999999761581421,-0.4000000059604645,0.11111110614405738,0.4148478782622058,0.8099999570846563,-0.16000000476837162,0.12444443722565977,0.2979228380016565
25,no,,VA,67,area_code_415,no,no,0,138.9,65,23.61,208.9,109,17.76,232.4,82,10.46,9.2,3,2.48,2,,,,,,,,,,
26,no,,NV,148,area_code_510,no,no,0,216.2,95,36.75,185.7,105,15.78,300.0,143,13.5,10.0,5,2.7,2,,,,,,,,,,
27,no,"Customer: I would like to upgrade my voice phone to a data phone.
TelCom Agent: Great, can I get you a quote on this and what does the total cost of the upgrade to a data phone look like?
Customer: $440.00 for both.
TelCom Agent: Thank you George. I want to check your account for any outstanding past due phone charges.
Customer: I can see the charges on the bill and they are just $25 out of the $440.00.
TelCom Agent: I'll have to get in touch with your billing department so I can get that forwarded. How do",MD,107,area_code_415,no,no,0,241.9,102,41.12,126.9,117,10.79,185.6,92,8.35,11.7,6,3.16,0,-0.10000000149011612,2.299999952316284,0.4000000059604645,-0.6000000238418579,-0.12500000279396772,0.3031088976079544,0.16000000476837162,-0.36000002861023006,-0.06500000324100264,0.15297059315081524
28,no,"Customer: Well, I have been very happy with the service I have received from TelCom and would like to upgrade my contract please.
TelCom Agent: I'm sorry, I can't upgrade your contract today, but I am glad you called and spoke with me today. Please let me know the following information for us to assist you in your upcoming order.
Customer: Hi there, I am very happy with the service I have received from TelCom. I was just wondering if I could upgrade my contract?
TelCom Agent: Oh, I'm sorry, can you please get in touch with me again and we will get you",NJ,64,area_code_510,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0.0,2.5999999046325684,0.8999999761581421,-0.5,0.0833333283662796,0.47051980071214544,0.8099999570846563,-0.25,0.12499999254941951,0.338907544363824
29,no,"Customer: I have voice. I have tried upgrading to text, but it didn't work. I am looking for a way to get online with no text messages.
TelCom Agent: I understand. Would you like to speak with our Supervisor in the Customer Service Centre?
TelCom Agent: We can start with that, please. How can you give us the best price possible?
Customer: I would like to get online and pay the bill online, with no text messages.
TelCom Agent: Okay, those are accurate. But you can't back out before the purchase has been made. It would be very",VA,170,area_code_510,yes,no,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,8.4,3,2.27,3,-0.20000000298023224,3.799999952316284,0.20000000298023224,-0.800000011920929,-0.25454545562917535,0.3525585365309425,0.040000001192092904,-0.6400000190734865,-0.18000000130046506,0.24613374179594744
30,no,"Customer: I just want to upgrade from voice to text.
TelCom Agent: Okay. This is Oswaldo. How can I assist you today?
Customer: I need to upgrade from voice to data.
TelCom Agent: That is a very common upgrade. And how long would you like to wait?
Customer: I would like to upgrade from voice to data for 2 years.
TelCom Agent: Thanks Oswaldo. Do you have any questions for me now?
Customer: No, just that I just need to know how to upgrade this year. I'm very happy with you and with your",CA,120,area_code_510,no,no,0,134.8,94,22.92,204.1,106,17.35,238.4,109,10.73,6.7,8,1.81,1,0.0,3.200000047683716,0.8999999761581421,-0.5,-0.033333336313565574,0.33249895109004823,0.8099999570846563,-0.25,0.029999995927015983,0.24782385127850876
31,yes,"Customer: Well I called the TelCom office and they wanted me to go through the entire setup process for a direct land line. I told them I already have a direct phone. So then they said you must have a TelCom account. And I said no, I don't have a TelCom account. And then they said that a TelCom account is all I need. And you can call them immediately. And I called, and they deleted me from their system by phone. So what can I do?
TelCom Agent: Well, what do you want me to do, give you your old number?
Customer: No, no, I'll just give you what you told me",LA,109,area_code_415,no,yes,27,166.9,85,28.37,221.2,92,18.8,197.3,97,8.88,12.3,4,3.32,1,-0.4000000059604645,5.599999904632568,0.699999988079071,-0.800000011920929,-0.3700000040233135,0.4267317619944906,0.4899999833106996,-0.6400000190734865,-0.2210000030100347,0.32079432179564343
32,no,"Customer: I am looking to upgrade my current plan to the new plan with unlimited data.
TelCom Agent: Excellent choice. I will get you started on that. Can you please give me the details of your existing plan?
Customer: Yeah, the Internet and video package that I have with TelCom now.
TelCom Agent: Great, I will contact TelCom and get you a new package for your higher data.
Customer: Okay, TelCom calls this service Internet; you will be calling it Voice.
TelCom Agent: Good, I am standing by to do that.
TelCom Agent: TelCom has",AL,167,area_code_510,no,no,0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,0.10000000149011612,2.799999952316284,0.800000011920929,-0.30000001192092896,0.1111111119389534,0.3381138739271465,0.6400000190734865,-0.09000000715255752,0.08888889104127884,0.2111052697892272
33,no,"Customer: Voice.
TelCom Agent: Irene I hope you don't mind me asking but would you mind if I take the following form or write it out for you?
Customer: Write the night time text to the number 4112065025.
TelCom Agent: Indeed. Thanks so much Irene. The upgrade is in process now and will be completed shortly
Customer: Thank you so much for your time this morning. I would like to take the night time text now, for the same number.
TelCom Agent: That's fine Irene. You may take the night time",NE,70,area_code_415,no,no,0,213.4,86,36.28,204.7,77,17.4,256.6,101,11.55,5.7,4,1.54,1,0.10000000149011612,2.700000047683716,0.800000011920929,-0.30000001192092896,0.1777777804268731,0.36447155050178626,0.6400000190734865,-0.09000000715255752,0.14222222646077476,0.2694759515388317
34,no,"Customer: My work phone.
TelCom Agent: Um, well you can upgrade to a new phone now. Is there anything else you would like to talk about?
Customer: I already talked earlier about the internet connection. Is that something you can help me with?
TelCom Agent: Yes, I can upgrade yourinternet connection to triple play. Is there anything else you would like to have done today?
Customer: Yeah, I would just like to confirm my number.
TelCom Agent: I have no problem with that. If you're happy with the new phone then we can upgrade yourinternet connection, however if you",TX,133,area_code_408,no,no,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4,0.0,1.899999976158142,0.30000001192092896,-0.4000000059604645,-0.039999999850988385,0.18547237403947628,0.09000000715255752,-0.16000000476837162,-0.013999999970197668,0.05936329087095851
35,no,"Customer: The upgrade is voice only. I am looking for a line that I can speak to my parents on.
TelCom Agent: That sounds like a very reasonable request. Can you please bring all of the documentation with you please?
Customer: Sure, I have a copy of my account, my personal copy. Also my lease.
TelCom Agent: All of that is needed to help you with the upgrade. We provide you with all of the documentation you may need to move forward with the upgrade.
Meaning the company had no issue with the letter, paperwork or personal information of Maria Rodrigues. And they did",WY,177,area_code_415,no,no,0,175.7,120,29.87,168.6,90,14.33,198.9,110,8.95,14.6,4,3.94,1,0.0,2.299999952316284,0.699999988079071,-0.30000001192092896,-0.040000005066394805,0.27640549945891135,0.4899999833106996,-0.09000000715255752,0.019999996125698062,0.16143109646796946
36,no,"Customer: Well like I said my name is Brandon and I have high speed broadband service with TelCom and I've been getting great service. Can I upgrade to 100gb data or voice and text?
TelCom Agent: Well Brandon, if we can do that we can upgrade you to 100gb data.
Customer: Thank you for your service Brandon. I'd like to add voice and text also. How about that. Now what's the difference between voice and text?
TelCom Agent: Well Brandon, we can do that too. Please follow my supervisor's instructions below.
TelCom Agent: Hello Brandon",VA,58,area_code_408,no,no,0,181.4,106,30.84,145.8,77,12.39,200.3,85,9.01,7.9,3,2.13,0,0.10000000149011612,2.200000047683716,0.699999988079071,-0.20000000298023224,0.11999999731779099,0.29933258674037483,0.4899999833106996,-0.040000001192092904,0.09399999654293063,0.19840362242044637
37,yes,"Customer: Well it's just kind of an ongoing thing I think and I just wouldn't really recommend it. I mean, I know I can get better service out of a telco or something but I just wouldn't really recommend it.
TelCom Agent: Well, that's okay, I understand. You can cancel your service right now and we'll just shut off your phone. And just to see if you have any phone calls set up, I'd like to see the current number you have called.
Customer: (She holds up a phone)
TelCom Agent: Oh, that's fine. And how many times have you called here today?
Customer: (She",UT,161,area_code_510,yes,no,0,194.2,106,33.01,249.4,105,21.2,254.9,129,11.47,12.9,1,3.48,1,-0.30000001192092896,3.5999999046325684,0.20000000298023224,-0.800000011920929,-0.3375000013038516,0.3351771929103608,0.040000001192092904,-0.6400000190734865,-0.21375000115484005,0.229288984033564
38,no,"Customer: I need someone to upgrade my service to Data and also upgrade the Voice to landline.
TelCom Agent: Thank you, how long would that take?
Customer: 15 minutes.
TelCom Agent: Great. How much would it be?
Customer: 2,150.00
TelCom Agent: Thank you Judith. I'll send you an invoice for that soon.
TelCom Agent: And my name is Justin. Are you ready to sign of it now?
Customer: Yes, absolutely.
TelCom Agent: Well, before we begin the upgrade process for your service, would you please hold",MN,24,area_code_510,no,yes,25,164.9,110,28.03,209.3,105,17.79,231.2,55,10.4,6.7,9,1.81,1,0.0,4.0,0.800000011920929,-0.6000000238418579,-0.018181819807399403,0.4085855541266546,0.6400000190734865,-0.36000002861023006,0.00909090800718823,0.24970727593398798
39,no,"Customer: I have three options. I can go with the data upgrade and pay for it over 18 months, or I can pay for the voice upgrade and to have it included with the data upgrade.
TelCom Agent: Thank you Celia. Would you be willing to give us your phone number so that we can send you a reminder when the upgrade program is about to end?
Customer: Sure Celia.
TelCom Agent: Would you please call me back 10-15 minutes?
TelCom Agent: Ok Celia and thanks for calling TelCom. This is Keri. If there is someone there",MN,179,area_code_415,no,no,0,170.7,54,29.02,191.1,108,16.24,214.6,107,9.66,13.3,4,3.59,1,0.0,2.700000047683716,0.4000000059604645,-0.5,-0.03333333217435413,0.2867441811881947,0.16000000476837162,-0.25,-0.007777776685025939,0.11242556115544473
40,no,"Customer: All three.
TelCom Agent: All three. How long would it take to do that and is there a contract that you have with us?
Customer: I'm going to have to re-schedule my email and phone services.
TelCom Agent: Okay well we are always happy to help you and we can always make it right. Where can you bring in the money right now?
Customer: Sorry I have to go now but I will definitely call you and come back and let you know. Thank you so much and I look forward to hearing from you again.
Helen: Thank",AR,163,area_code_408,no,no,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,0.10000000149011612,3.5999999046325684,0.8999999761581421,-0.699999988079071,0.1444444465968344,0.48787774033154724,0.8099999570846563,-0.4899999833106996,0.14333333561817818,0.372797227168104
41,no,"Customer: I have selected text data.
TelCom Agent: All right, thank you, I will send you a new code to you to follow the upgrade. If you need any assistance please just let me know and I will do my best.
Customer: I will definitely follow up with you, thank you.
TelCom Agent: No worries Rosamond, just let me know when you need anything.
TelCom Agent: Thank you for calling TelCom. Will you please give me a moment to verify your information.
TelCom Agent: Thank you. Zeke! You're",IL,67,area_code_415,no,no,0,109.1,117,18.55,217.4,124,18.48,188.4,141,8.48,12.8,6,3.46,0,0.20000000298023224,3.799999952316284,0.6000000238418579,-0.4000000059604645,0.23000000417232513,0.31638584527048724,0.36000002861023006,-0.16000000476837162,0.11300000381469735,0.15310454476261798
42,no,"Customer: I'd like to upgrade to unlimited data.
TelCom Agent: Okay, I have called up the revenue division and they are telling me that they will send you a new bill in the mail as soon as possible. Will that be in a few days or would you prefer to pay now?
Customer: I'd like to pay now.
TelCom Agent: We have to hold your billing information while we get it shipped to you. So I'll be right back with you. I have your new bill here and I'm going to offer you the remaining month on the existing contract and the price of calling",CT,74,area_code_510,no,no,0,203.8,77,34.65,205.1,111,17.43,154.9,109,6.97,9.0,2,2.43,1,-0.20000000298023224,2.5,0.30000001192092896,-0.6000000238418579,-0.21428571747882025,0.26954232602405354,0.09000000715255752,-0.36000002861023006,-0.09285714647599634,0.1437969176190789
43,no,"Customer: I'm happy with the service I am receiving from TelCom, I just want to upgrade my contract to ….
TelCom Agent: Is there an upgrade option you require right now?
Customer: No the data is just fine, but wanna do voice upgrade, I have a landline phone at home and I am planning on moving to a tablet phone and I'm trying to find the right upgrade option for that here.
TelCom Agent: No, I'm sorry I can't assist you with this. So I'm sorry to hear that. Now are you able to tell us what your current plan is on the",MO,85,area_code_415,no,no,0,126.1,112,21.44,274.7,126,23.35,184.4,95,8.3,9.8,4,2.65,1,-0.10000000149011612,3.200000047683716,0.5,-0.800000011920929,-0.18333333482344946,0.5209499877467011,0.25,-0.6400000190734865,-0.13833333472410844,0.3383990102193075
44,no,"Customer: I would like to upgrade to the fastest service for the most money and would like a voice upgrade and a text upgrade that I can pay for with my TRS.
TelCom Agent: Great! Any tips for me to help you out?
Customer: Yes, I just want you to start by telling me what I need to do to upgrade my service. I have a 911 emergency call for my landlord as well as an emergency medical not answering call. So I have to keep both of those numbers active and available. I would like to receive the 911 emergency call via TelCom and text as well. I know that's not",AK,36,area_code_408,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,-0.10000000149011612,3.0999999046325684,0.8999999761581421,-0.5,-0.11250000633299351,0.4044672360937331,0.8099999570846563,-0.25,0.026249992772936874,0.30622447577890194
45,no,,TX,90,area_code_415,no,no,0,109.6,88,18.63,137.6,108,11.7,159.7,121,7.19,11.0,5,2.97,2,,,,,,,,,,
46,no,,WI,186,area_code_408,no,no,0,206.8,104,35.16,286.0,115,24.31,153.9,112,6.93,12.4,6,3.35,0,,,,,,,,,,
47,no,"Customer: I want to upgrade my voice service.
TelCom Agent: Thank you for that. I am sorry I do not have that information right now. Can you describe your current service?
Customer: Well I spoke with a TelCom agent earlier today and she told me that I can upgrade my voice service to a new phone but was very vague about what I could expect to receive for my existing voice service. What can you tell me about features I will receive for my existing voice service?
TelCom Agent: I am so sorry to hear that you have been unhappy with TelCom and your service. Just tell",NE,77,area_code_415,no,no,0,169.4,102,28.8,184.9,144,15.72,234.3,89,10.54,2.0,7,0.54,1,-0.30000001192092896,3.299999952316284,0.4000000059604645,-0.800000011920929,-0.2749999985098839,0.39607448784981625,0.16000000476837162,-0.6400000190734865,-0.19249999791383748,0.2788704896195161
